1,4,18.525,409.18
1,5,74.653,382.13
1,8,659.81,422.25
1,9,629.32,369
1,10,729.46,349.71
1,11,501.54,238.74
1,12,573.82,218.3
1,13,545.67,279.52
1,14,420.91,235.84
1,15,401,291.61
1,16,717.88,433.53
1,17,687.89,493.45
1,18,43.635,553.52
1,19,14.958,455.99
2,4,12.797,408.24
2,5,69.947,380.86
2,8,665.16,424.42
2,9,636.65,372.65
2,10,733.67,350.78
2,11,496.46,237.92
2,12,568.68,217.22
2,13,540.46,281.97
2,14,425.25,236.74
2,15,405.99,292.92
2,16,711.77,430.34
2,17,683.43,494.89
2,18,47.997,549.59
2,19,17.995,451.97
3,4,7.1929,407.08
3,5,65.023,379.49
3,8,670.47,426.24
3,9,643.3,375.29
3,10,738.08,351.86
3,11,491.45,236.86
3,12,563.43,216.29
3,13,534.99,284.09
3,14,429.38,237.8
3,15,410.76,294.09
3,16,706.52,427.97
3,17,678.81,496.37
3,18,52.661,545.51
3,19,21.622,449.55
4,4,1.6899,405.71
4,5,60.024,377.86
4,8,675.63,427.37
4,9,649.94,377.22
4,10,742.42,352.93
4,11,486.79,235.64
4,12,558.18,215.59
4,13,529.88,286.35
4,14,433.24,239.08
4,15,415.73,295.31
4,16,703.09,425.41
4,17,673.87,497.77
4,18,57.439,541.13
4,19,26,448.38
5,5,55.255,375.75
5,8,680.21,428.36
5,9,656.48,378.53
5,10,746.69,354.12
5,11,482.8,234.47
5,12,553.02,215.06
5,13,524.6,288.38
5,14,436.77,240.6
5,15,420.59,296.79
5,16,700.57,423.46
5,17,668.54,498.94
5,18,62.332,537.09
5,19,31.175,447.17
6,5,50.274,373.53
6,8,683.67,429.51
6,9,663.72,379.38
6,10,750.93,355.14
6,11,479.05,233.39
6,12,547.77,214.71
6,13,519.36,290.32
6,14,440.35,242.54
6,15,425.4,298.56
6,16,699.71,421.67
6,17,663.12,499.49
6,18,67.022,533.05
6,19,37.073,447.89
7,5,44.591,371.72
7,8,686.15,429.92
7,9,671.12,380.35
7,10,755.15,355.84
7,11,475.62,232.35
7,12,542.37,214.31
7,13,514.41,292.33
7,14,443.74,244.94
7,15,429.91,299.88
7,16,699.67,419.32
7,17,658.03,499.66
7,18,71.681,529.16
7,19,43.716,449.39
8,5,38.424,369.85
8,8,686.8,434.75
8,9,678.33,379.34
8,10,759.41,356.59
8,11,472.33,231.2
